PLAYER_NAME,SEASON,cluster,classification
Al Horford,2013-14,2,stretch forwards / big men
Al Jefferson,2013-14,2,stretch forwards / big men
Al-Farouq Aminu,2013-14,1,versatile forwards
Alec Burks,2013-14,4,floor generals
Amir Johnson,2013-14,5,traditional centers
Anderson Varejao,2013-14,5,traditional centers
Andre Drummond,2013-14,5,traditional centers
Andre Iguodala,2013-14,7,low-usage role players
Andrea Bargnani,2013-14,2,stretch forwards / big men
Andrew Bogut,2013-14,5,traditional centers
Anthony Davis,2013-14,2,stretch forwards / big men
Arron Afflalo,2013-14,6,sharpshooters
Avery Bradley,2013-14,6,sharpshooters
Ben McLemore,2013-14,6,sharpshooters
Blake Griffin,2013-14,2,stretch forwards / big men
Boris Diaw,2013-14,1,versatile forwards
Bradley Beal,2013-14,6,sharpshooters
Brandon Bass,2013-14,2,stretch forwards / big men
Brandon Jennings,2013-14,4,floor generals
Brandon Knight,2013-14,4,floor generals
Brian Roberts,2013-14,4,floor generals
Brook Lopez,2013-14,2,stretch forwards / big men
Carlos Boozer,2013-14,2,stretch forwards / big men
Carmelo Anthony,2013-14,3,ball-dominant scorers
Caron Butler,2013-14,6,sharpshooters
Chandler Parsons,2013-14,6,sharpshooters
Channing Frye,2013-14,7,low-usage role players
Chris Bosh,2013-14,2,stretch forwards / big men
Chris Paul,2013-14,3,ball-dominant scorers
Corey Brewer,2013-14,7,low-usage role players
Courtney Lee,2013-14,6,sharpshooters
D.J. Augustin,2013-14,4,floor generals
Damian Lillard,2013-14,3,ball-dominant scorers
Danny Green,2013-14,7,low-usage role players
Darren Collison,2013-14,4,floor generals
David Lee,2013-14,5,traditional centers
David West,2013-14,2,stretch forwards / big men
DeAndre Jordan,2013-14,5,traditional centers
DeMar DeRozan,2013-14,3,ball-dominant scorers
DeMarcus Cousins,2013-14,2,stretch forwards / big men
DeMarre Carroll,2013-14,7,low-usage role players
Deron Williams,2013-14,4,floor generals
Derrick Favors,2013-14,5,traditional centers
Derrick Williams,2013-14,1,versatile forwards
Dion Waiters,2013-14,4,floor generals
Dirk Nowitzki,2013-14,2,stretch forwards / big men
Dwight Howard,2013-14,5,traditional centers
Dwyane Wade,2013-14,3,ball-dominant scorers
Enes Kanter,2013-14,5,traditional centers
Eric Bledsoe,2013-14,3,ball-dominant scorers
Eric Gordon,2013-14,6,sharpshooters
Ersan Ilyasova,2013-14,2,stretch forwards / big men
Evan Turner,2013-14,1,versatile forwards
George Hill,2013-14,4,floor generals
Gerald Green,2013-14,6,sharpshooters
Gerald Henderson,2013-14,6,sharpshooters
Gerald Wallace,2013-14,7,low-usage role players
Giannis Antetokounmpo,2013-14,1,versatile forwards
Glen Davis,2013-14,2,stretch forwards / big men
Goran Dragic,2013-14,4,floor generals
Gordon Hayward,2013-14,4,floor generals
Greg Monroe,2013-14,5,traditional centers
Harrison Barnes,2013-14,1,versatile forwards
Iman Shumpert,2013-14,7,low-usage role players
Isaiah Thomas,2013-14,3,ball-dominant scorers
JJ Hickson,2013-14,5,traditional centers
JJ Redick,2013-14,6,sharpshooters
JR Smith,2013-14,6,sharpshooters
Jamal Crawford,2013-14,6,sharpshooters
Jameer Nelson,2013-14,4,floor generals
James Anderson,2013-14,6,sharpshooters
James Harden,2013-14,3,ball-dominant scorers
Jared Dudley,2013-14,7,low-usage role players
Jared Sullinger,2013-14,2,stretch forwards / big men
Jarrett Jack,2013-14,4,floor generals
Jason Smith,2013-14,2,stretch forwards / big men
Jason Thompson,2013-14,5,traditional centers
Jeff Green,2013-14,6,sharpshooters
Jeff Teague,2013-14,3,ball-dominant scorers
Jeffery Taylor,2013-14,7,low-usage role players
Jeremy Lin,2013-14,4,floor generals
Jerryd Bayless,2013-14,4,floor generals
Jimmy Butler,2013-14,7,low-usage role players
Joakim Noah,2013-14,5,traditional centers
Jodie Meeks,2013-14,6,sharpshooters
Joe Johnson,2013-14,6,sharpshooters
John Henson,2013-14,5,traditional centers
John Wall,2013-14,3,ball-dominant scorers
Jonas Valanciunas,2013-14,5,traditional centers
Jose Calderon,2013-14,6,sharpshooters
Josh McRoberts,2013-14,7,low-usage role players
Josh Smith,2013-14,2,stretch forwards / big men
Jrue Holiday,2013-14,4,floor generals
Kawhi Leonard,2013-14,1,versatile forwards
Kemba Walker,2013-14,4,floor generals
Kendall Marshall,2013-14,4,floor generals
Kenneth Faried,2013-14,5,traditional centers
Kevin Durant,2013-14,3,ball-dominant scorers
Kevin Love,2013-14,2,stretch forwards / big men
Kevin Martin,2013-14,6,sharpshooters
Khris Middleton,2013-14,6,sharpshooters
Kirk Hinrich,2013-14,4,floor generals
Klay Thompson,2013-14,6,sharpshooters
Kyle Korver,2013-14,7,low-usage role players
Kyle Lowry,2013-14,3,ball-dominant scorers
Kyle Singler,2013-14,7,low-usage role players
Kyrie Irving,2013-14,3,ball-dominant scorers
LaMarcus Aldridge,2013-14,2,stretch forwards / big men
Lance Stephenson,2013-14,1,versatile forwards
Larry Sanders,2013-14,5,traditional centers
LeBron James,2013-14,3,ball-dominant scorers
Lou Williams,2013-14,4,floor generals
Luol Deng,2013-14,1,versatile forwards
Marc Gasol,2013-14,2,stretch forwards / big men
Marcin Gortat,2013-14,2,stretch forwards / big men
Marco Belinelli,2013-14,6,sharpshooters
Marcus Thornton,2013-14,6,sharpshooters
Mario Chalmers,2013-14,4,floor generals
Markieff Morris,2013-14,2,stretch forwards / big men
Martell Webster,2013-14,7,low-usage role players
Marvin Williams,2013-14,7,low-usage role players
Matt Barnes,2013-14,7,low-usage role players
Maurice Harkless,2013-14,7,low-usage role players
Michael Carter-Williams,2013-14,4,floor generals
Michael Kidd-Gilchrist,2013-14,5,traditional centers
Mike Conley,2013-14,4,floor generals
Mike Dunleavy,2013-14,7,low-usage role players
Miles Plumlee,2013-14,5,traditional centers
Mo Williams,2013-14,4,floor generals
Monta Ellis,2013-14,4,floor generals
Nene,2013-14,2,stretch forwards / big men
Nick Young,2013-14,6,sharpshooters
Nicolas Batum,2013-14,7,low-usage role players
Nikola Pekovic,2013-14,5,traditional centers
Nikola Vucevic,2013-14,5,traditional centers
Norris Cole,2013-14,4,floor generals
O.J. Mayo,2013-14,6,sharpshooters
P.J. Tucker,2013-14,7,low-usage role players
Patrick Beverley,2013-14,7,low-usage role players
Patrick Patterson,2013-14,7,low-usage role players
Pau Gasol,2013-14,2,stretch forwards / big men
Paul George,2013-14,3,ball-dominant scorers
Paul Millsap,2013-14,2,stretch forwards / big men
Paul Pierce,2013-14,1,versatile forwards
Rajon Rondo,2013-14,4,floor generals
Ramon Sessions,2013-14,4,floor generals
Randy Foye,2013-14,6,sharpshooters
Ray Allen,2013-14,6,sharpshooters
Raymond Felton,2013-14,4,floor generals
Reggie Jackson,2013-14,4,floor generals
Richard Jefferson,2013-14,6,sharpshooters
Ricky Rubio,2013-14,4,floor generals
Robin Lopez,2013-14,5,traditional centers
Rodney Stuckey,2013-14,1,versatile forwards
Roy Hibbert,2013-14,5,traditional centers
Rudy Gay,2013-14,1,versatile forwards
Russell Westbrook,2013-14,3,ball-dominant scorers
Ryan Anderson,2013-14,6,sharpshooters
Serge Ibaka,2013-14,2,stretch forwards / big men
Shaun Livingston,2013-14,4,floor generals
Shawn Marion,2013-14,7,low-usage role players
Spencer Hawes,2013-14,2,stretch forwards / big men
Stephen Curry,2013-14,3,ball-dominant scorers
Steve Blake,2013-14,4,floor generals
Taj Gibson,2013-14,5,traditional centers
Tayshaun Prince,2013-14,7,low-usage role players
Terrence Jones,2013-14,1,versatile forwards
Terrence Ross,2013-14,6,sharpshooters
Thabo Sefolosha,2013-14,7,low-usage role players
Thaddeus Young,2013-14,1,versatile forwards
Tim Duncan,2013-14,2,stretch forwards / big men
Tim Hardaway Jr.,2013-14,6,sharpshooters
Tobias Harris,2013-14,1,versatile forwards
Tony Allen,2013-14,1,versatile forwards
Tony Parker,2013-14,4,floor generals
Tony Wroten,2013-14,4,floor generals
Trevor Ariza,2013-14,7,low-usage role players
Trey Burke,2013-14,4,floor generals
Tristan Thompson,2013-14,5,traditional centers
Ty Lawson,2013-14,3,ball-dominant scorers
Tyreke Evans,2013-14,3,ball-dominant scorers
Tyson Chandler,2013-14,5,traditional centers
Victor Oladipo,2013-14,4,floor generals
Vince Carter,2013-14,6,sharpshooters
Wesley Johnson,2013-14,7,low-usage role players
Wesley Matthews,2013-14,6,sharpshooters
Wilson Chandler,2013-14,6,sharpshooters
Zach Randolph,2013-14,2,stretch forwards / big men
Zaza Pachulia,2013-14,5,traditional centers
Adreian Payne,2014-15,5,traditional centers
Al Horford,2014-15,2,stretch forwards / big men
Al Jefferson,2014-15,2,stretch forwards / big men
Alan Anderson,2014-15,7,low-usage role players
Alec Burks,2014-15,4,floor generals
Amir Johnson,2014-15,5,traditional centers
Anderson Varejao,2014-15,5,traditional centers
Andre Drummond,2014-15,5,traditional centers
Andre Iguodala,2014-15,7,low-usage role players
Andrea Bargnani,2014-15,2,stretch forwards / big men
Andrew Bogut,2014-15,5,traditional centers
Andrew Wiggins,2014-15,1,versatile forwards
Anthony Davis,2014-15,2,stretch forwards / big men
Anthony Morrow,2014-15,6,sharpshooters
Arron Afflalo,2014-15,6,sharpshooters
Avery Bradley,2014-15,6,sharpshooters
Ben McLemore,2014-15,6,sharpshooters
Blake Griffin,2014-15,2,stretch forwards / big men
Bojan Bogdanovic,2014-15,6,sharpshooters
Boris Diaw,2014-15,1,versatile forwards
Bradley Beal,2014-15,6,sharpshooters
Brandon Bass,2014-15,2,stretch forwards / big men
Brandon Jennings,2014-15,4,floor generals
Brandon Knight,2014-15,4,floor generals
Brook Lopez,2014-15,2,stretch forwards / big men
C.J. Watson,2014-15,4,floor generals
CJ Miles,2014-15,6,sharpshooters
Carlos Boozer,2014-15,2,stretch forwards / big men
Carmelo Anthony,2014-15,2,stretch forwards / big men
Chandler Parsons,2014-15,6,sharpshooters
Channing Frye,2014-15,7,low-usage role players
Chris Bosh,2014-15,2,stretch forwards / big men
Chris Paul,2014-15,3,ball-dominant scorers
Cody Zeller,2014-15,5,traditional centers
Corey Brewer,2014-15,1,versatile forwards
Courtney Lee,2014-15,6,sharpshooters
D.J. Augustin,2014-15,4,floor generals
Damian Lillard,2014-15,3,ball-dominant scorers
Danilo Gallinari,2014-15,6,sharpshooters
Danny Green,2014-15,7,low-usage role players
Dante Cunningham,2014-15,7,low-usage role players
Darren Collison,2014-15,4,floor generals
David West,2014-15,2,stretch forwards / big men
DeAndre Jordan,2014-15,5,traditional centers
DeMar DeRozan,2014-15,3,ball-dominant scorers
DeMarcus Cousins,2014-15,2,stretch forwards / big men
DeMarre Carroll,2014-15,7,low-usage role players
Deron Williams,2014-15,4,floor generals
Derrick Favors,2014-15,2,stretch forwards / big men
Derrick Rose,2014-15,4,floor generals
Dion Waiters,2014-15,6,sharpshooters
Dirk Nowitzki,2014-15,2,stretch forwards / big men
Donatas Motiejunas,2014-15,2,stretch forwards / big men
Draymond Green,2014-15,7,low-usage role players
Dwight Howard,2014-15,5,traditional centers
Dwyane Wade,2014-15,3,ball-dominant scorers
Ed Davis,2014-15,5,traditional centers
Elfrid Payton,2014-15,4,floor generals
Enes Kanter,2014-15,2,stretch forwards / big men
Eric Bledsoe,2014-15,3,ball-dominant scorers
Eric Gordon,2014-15,6,sharpshooters
Evan Fournier,2014-15,6,sharpshooters
Evan Turner,2014-15,4,floor generals
George Hill,2014-15,3,ball-dominant scorers
Gerald Henderson,2014-15,6,sharpshooters
Giannis Antetokounmpo,2014-15,1,versatile forwards
Goran Dragic,2014-15,4,floor generals
Gordon Hayward,2014-15,3,ball-dominant scorers
Gorgui Dieng,2014-15,5,traditional centers
Greg Monroe,2014-15,5,traditional centers
Greivis Vasquez,2014-15,4,floor generals
Harrison Barnes,2014-15,7,low-usage role players
Hassan Whiteside,2014-15,5,traditional centers
Henry Walker,2014-15,7,low-usage role players
Hollis Thompson,2014-15,7,low-usage role players
Iman Shumpert,2014-15,7,low-usage role players
Isaiah Thomas,2014-15,3,ball-dominant scorers
JJ Redick,2014-15,6,sharpshooters
JR Smith,2014-15,6,sharpshooters
Jabari Brown,2014-15,6,sharpshooters
Jabari Parker,2014-15,1,versatile forwards
Jamal Crawford,2014-15,6,sharpshooters
James Harden,2014-15,3,ball-dominant scorers
Jared Dudley,2014-15,7,low-usage role players
Jared Sullinger,2014-15,2,stretch forwards / big men
Jarrett Jack,2014-15,4,floor generals
Jason Thompson,2014-15,5,traditional centers
Jeff Green,2014-15,1,versatile forwards
Jeff Teague,2014-15,3,ball-dominant scorers
Jeremy Lin,2014-15,4,floor generals
Jimmy Butler,2014-15,1,versatile forwards
Joakim Noah,2014-15,5,traditional centers
Jodie Meeks,2014-15,6,sharpshooters
Joe Johnson,2014-15,6,sharpshooters
John Wall,2014-15,3,ball-dominant scorers
Jonas Valanciunas,2014-15,5,traditional centers
Jordan Clarkson,2014-15,4,floor generals
Jordan Hill,2014-15,2,stretch forwards / big men
Jose Calderon,2014-15,4,floor generals
Josh Smith,2014-15,2,stretch forwards / big men
Jrue Holiday,2014-15,4,floor generals
Kawhi Leonard,2014-15,1,versatile forwards
Kemba Walker,2014-15,4,floor generals
Kenneth Faried,2014-15,5,traditional centers
Kentavious Caldwell-Pope,2014-15,6,sharpshooters
Kevin Durant,2014-15,3,ball-dominant scorers
Kevin Love,2014-15,2,stretch forwards / big men
Kevin Martin,2014-15,6,sharpshooters
Khris Middleton,2014-15,6,sharpshooters
Kirk Hinrich,2014-15,7,low-usage role players
Klay Thompson,2014-15,6,sharpshooters
Kobe Bryant,2014-15,3,ball-dominant scorers
Kyle Korver,2014-15,7,low-usage role players
Kyle Lowry,2014-15,4,floor generals
Kyrie Irving,2014-15,3,ball-dominant scorers
LaMarcus Aldridge,2014-15,2,stretch forwards / big men
Lance Stephenson,2014-15,4,floor generals
Lance Thomas,2014-15,1,versatile forwards
Langston Galloway,2014-15,4,floor generals
LeBron James,2014-15,3,ball-dominant scorers
Lou Williams,2014-15,3,ball-dominant scorers
Luc Mbah a Moute,2014-15,1,versatile forwards
Luol Deng,2014-15,1,versatile forwards
Marc Gasol,2014-15,2,stretch forwards / big men
Marcin Gortat,2014-15,5,traditional centers
Marcus Morris Sr.,2014-15,6,sharpshooters
Marcus Smart,2014-15,7,low-usage role players
Mario Chalmers,2014-15,4,floor generals
Markieff Morris,2014-15,2,stretch forwards / big men
Marvin Williams,2014-15,7,low-usage role players
Matt Barnes,2014-15,7,low-usage role players
Michael Carter-Williams,2014-15,4,floor generals
Michael Kidd-Gilchrist,2014-15,1,versatile forwards
Mike Conley,2014-15,4,floor generals
Mike Dunleavy,2014-15,7,low-usage role players
Mo Williams,2014-15,4,floor generals
Monta Ellis,2014-15,4,floor generals
Nene,2014-15,2,stretch forwards / big men
Nerlens Noel,2014-15,5,traditional centers
Nick Young,2014-15,6,sharpshooters
Nicolas Batum,2014-15,7,low-usage role players
Nikola Pekovic,2014-15,5,traditional centers
Nikola Vucevic,2014-15,2,stretch forwards / big men
Norris Cole,2014-15,4,floor generals
O.J. Mayo,2014-15,6,sharpshooters
Omer Asik,2014-15,5,traditional centers
P.J. Tucker,2014-15,7,low-usage role players
Patrick Beverley,2014-15,7,low-usage role players
Patrick Patterson,2014-15,7,low-usage role players
Pau Gasol,2014-15,2,stretch forwards / big men
Paul Millsap,2014-15,2,stretch forwards / big men
Paul Pierce,2014-15,6,sharpshooters
Quincy Pondexter,2014-15,7,low-usage role players
Quincy Pondexter,2014-15,7,low-usage role players
Rajon Rondo,2014-15,4,floor generals
Reggie Jackson,2014-15,4,floor generals
Ricky Rubio,2014-15,4,floor generals
Robert Covington,2014-15,6,sharpshooters
Robin Lopez,2014-15,5,traditional centers
Rodney Stuckey,2014-15,4,floor generals
Roy Hibbert,2014-15,5,traditional centers
Rudy Gay,2014-15,3,ball-dominant scorers
Rudy Gobert,2014-15,5,traditional centers
Russell Westbrook,2014-15,3,ball-dominant scorers
Ryan Anderson,2014-15,6,sharpshooters
Ryan Kelly,2014-15,7,low-usage role players
Serge Ibaka,2014-15,2,stretch forwards / big men
Shane Larkin,2014-15,4,floor generals
Solomon Hill,2014-15,7,low-usage role players
Stephen Curry,2014-15,3,ball-dominant scorers
Steven Adams,2014-15,5,traditional centers
Taj Gibson,2014-15,5,traditional centers
Tayshaun Prince,2014-15,7,low-usage role players
Terrence Jones,2014-15,5,traditional centers
Terrence Ross,2014-15,6,sharpshooters
Thaddeus Young,2014-15,1,versatile forwards
Tim Duncan,2014-15,2,stretch forwards / big men
Tim Hardaway Jr.,2014-15,6,sharpshooters
Timofey Mozgov,2014-15,5,traditional centers
Tobias Harris,2014-15,1,versatile forwards
Tony Allen,2014-15,1,versatile forwards
Tony Parker,2014-15,4,floor generals
Tony Wroten,2014-15,4,floor generals
Trevor Ariza,2014-15,7,low-usage role players
Trey Burke,2014-15,4,floor generals
Tristan Thompson,2014-15,5,traditional centers
Ty Lawson,2014-15,4,floor generals
Tyreke Evans,2014-15,4,floor generals
Tyson Chandler,2014-15,5,traditional centers
Victor Oladipo,2014-15,4,floor generals
Wayne Ellington,2014-15,6,sharpshooters
Wesley Johnson,2014-15,6,sharpshooters
Wesley Matthews,2014-15,6,sharpshooters
Wilson Chandler,2014-15,1,versatile forwards
Zach LaVine,2014-15,4,floor generals
Zach Randolph,2014-15,2,stretch forwards / big men
Zaza Pachulia,2014-15,5,traditional centers
Aaron Gordon,2015-16,1,versatile forwards
Al Horford,2015-16,2,stretch forwards / big men
Al Jefferson,2015-16,2,stretch forwards / big men
Al-Farouq Aminu,2015-16,7,low-usage role players
Alec Burks,2015-16,4,floor generals
Alex Len,2015-16,5,traditional centers
Allen Crabbe,2015-16,6,sharpshooters
Andre Drummond,2015-16,5,traditional centers
Andre Iguodala,2015-16,7,low-usage role players
Andrew Wiggins,2015-16,1,versatile forwards
Anthony Davis,2015-16,2,stretch forwards / big men
Arron Afflalo,2015-16,6,sharpshooters
Avery Bradley,2015-16,6,sharpshooters
Blake Griffin,2015-16,2,stretch forwards / big men
Bojan Bogdanovic,2015-16,6,sharpshooters
Bradley Beal,2015-16,6,sharpshooters
Brandon Knight,2015-16,4,floor generals
Brook Lopez,2015-16,2,stretch forwards / big men
CJ McCollum,2015-16,4,floor generals
Carmelo Anthony,2015-16,2,stretch forwards / big men
Chandler Parsons,2015-16,6,sharpshooters
Chris Bosh,2015-16,2,stretch forwards / big men
Chris Paul,2015-16,3,ball-dominant scorers
Cody Zeller,2015-16,5,traditional centers
Cory Joseph,2015-16,4,floor generals
Courtney Lee,2015-16,6,sharpshooters
D'Angelo Russell,2015-16,4,floor generals
Damian Lillard,2015-16,3,ball-dominant scorers
Danilo Gallinari,2015-16,1,versatile forwards
Danny Green,2015-16,7,low-usage role players
Dante Cunningham,2015-16,7,low-usage role players
Darren Collison,2015-16,4,floor generals
DeAndre Jordan,2015-16,5,traditional centers
DeMar DeRozan,2015-16,3,ball-dominant scorers
DeMarcus Cousins,2015-16,2,stretch forwards / big men
DeMarre Carroll,2015-16,7,low-usage role players
Deron Williams,2015-16,4,floor generals
Derrick Favors,2015-16,5,traditional centers
Derrick Rose,2015-16,4,floor generals
Devin Booker,2015-16,6,sharpshooters
Dion Waiters,2015-16,6,sharpshooters
Dirk Nowitzki,2015-16,2,stretch forwards / big men
Draymond Green,2015-16,2,stretch forwards / big men
Dwight Howard,2015-16,5,traditional centers
Dwyane Wade,2015-16,3,ball-dominant scorers
Elfrid Payton,2015-16,4,floor generals
Emmanuel Mudiay,2015-16,4,floor generals
Eric Bledsoe,2015-16,3,ball-dominant scorers
Eric Gordon,2015-16,6,sharpshooters
Ersan Ilyasova,2015-16,1,versatile forwards
Evan Fournier,2015-16,6,sharpshooters
Evan Turner,2015-16,4,floor generals
Garrett Temple,2015-16,7,low-usage role players
Gary Harris,2015-16,6,sharpshooters
George Hill,2015-16,6,sharpshooters
